,TEAM,2012_GMS_home,2012_TOTAL_home,2012_AVG_home,2012_PCT_home,2012_GMS_road,2012_AVG_road,2012_PCT_road,2012_GMS_overall,2012_AVG_overall,2012_PCT_overall,2013_GMS_home,2013_TOTAL_home,2013_AVG_home,2013_PCT_home,2013_GMS_road,2013_AVG_road,2013_PCT_road,2013_GMS_overall,2013_AVG_overall,2013_PCT_overall,2014_GMS_home,2014_TOTAL_home,2014_AVG_home,2014_PCT_home,2014_GMS_road,2014_AVG_road,2014_PCT_road,2014_GMS_overall,2014_AVG_overall,2014_PCT_overall,2015_GMS_home,2015_TOTAL_home,2015_AVG_home,2015_PCT_home,2015_GMS_road,2015_AVG_road,2015_PCT_road,2015_GMS_overall,2015_AVG_overall,2015_PCT_overall,2016_GMS_home,2016_TOTAL_home,2016_AVG_home,2016_PCT_home,2016_GMS_road,2016_AVG_road,2016_PCT_road,2016_GMS_overall,2016_AVG_overall,2016_PCT_overall,2017_GMS_home,2017_TOTAL_home,2017_AVG_home,2017_PCT_home,2017_GMS_road,2017_AVG_road,2017_PCT_road,2017_GMS_overall,2017_AVG_overall,2017_PCT_overall,2018_GMS_home,2018_TOTAL_home,2018_AVG_home,2018_PCT_home,2018_GMS_road,2018_AVG_road,2018_PCT_road,2018_GMS_overall,2018_AVG_overall,2018_PCT_overall,2019_GMS_home,2019_TOTAL_home,2019_AVG_home,2019_PCT_home,2019_GMS_road,2019_AVG_road,2019_PCT_road,2019_GMS_overall,2019_AVG_overall,2019_PCT_overall,2020_GMS_home,2020_TOTAL_home,2020_AVG_home,2020_PCT_home,2020_GMS_road,2020_AVG_road,2020_PCT_road,2020_GMS_overall,2020_AVG_overall,2020_PCT_overall,2021_GMS_home,2021_TOTAL_home,2021_AVG_home,2021_PCT_home,2021_GMS_road,2021_AVG_road,2021_PCT_road,2021_GMS_overall,2021_AVG_overall,2021_PCT_overall,2022_GMS_home,2022_TOTAL_home,2022_AVG_home,2022_PCT_home,2022_GMS_road,2022_AVG_road,2022_PCT_road,2022_GMS_overall,2022_AVG_overall,2022_PCT_overall
10,Milwaukee,81,2831385,34955,83.4,81,30580,71.3,162,32767,77.3,81,2531105,31248,74.6,81,31094,71.8,162,31171,73.1,81,2797384,34535,82.4,81,32328,75.6,162,33432,79.0,81,2542558,31389,74.9,81,31634,73.6,162,31511,74.2,81,2314614,28575,68.2,81,30954,71.2,162,29764,69.7,81,2558722,31589,75.4,81,30530,71.1,162,31060,73.2,81,2850875,35195,84.0,81,29000,67.8,162,32098,75.8,81,2923333,36090,0.0,81,29727,0.0,162,32909,0.0,,,,,,,,,,,81,1824282,22522,0.0,81,19548,0.0,162,21035,0.0,80,2412420,30155,0.0,81,27290,0.0,161,28713,0.0
11,Minnesota,81,2776354,34275,86.8,80,28306,66.5,161,31309,76.3,81,2477644,30588,77.4,81,27022,64.4,162,28805,70.7,81,2250606,27785,70.3,79,26943,63.6,160,27369,66.9,81,2220054,27408,69.4,80,29306,69.8,161,28351,69.6,81,1963912,24245,61.4,81,27357,64.9,162,25801,63.2,80,2051279,25640,64.9,80,27797,65.5,160,26719,65.2,80,1959197,24489,63.6,81,27017,64.4,161,25761,64.0,81,2294152,28322,0.0,80,23505,0.0,161,25928,0.0,,,,,,,,,,,80,1310199,16377,0.0,79,17219,0.0,159,16795,0.0,80,1801128,22514,0.0,80,22827,0.0,160,22670,0.0
12,Colorado,81,2630458,32474,64.3,80,32301,72.0,161,32388,67.9,81,2793828,34491,68.3,81,32669,72.5,162,33580,70.3,81,2680329,33090,65.5,81,31659,71.2,162,32375,68.2,80,2506789,31334,62.1,81,30962,69.3,161,31147,65.5,81,2602524,32129,63.6,81,31464,70.1,162,31796,66.7,81,2953650,36464,72.2,81,30575,69.3,162,33520,70.8,81,3015880,37233,73.7,82,31607,70.5,163,34402,72.2,81,2993244,36953,0.0,81,30528,0.0,162,33741,0.0,,,,,,,,,,,78,1938645,24854,0.0,79,20252,0.0,157,22539,0.0,80,2597428,32467,0.0,80,27801,0.0,160,30134,0.0
13,Washington,79,2370794,30010,72.3,81,33116,75.6,160,31582,74.0,81,2652422,32745,78.9,81,30597,70.2,162,31671,74.4,81,2579389,31844,76.7,81,29864,68.8,162,30854,72.6,81,2619843,32343,77.9,80,30230,69.6,161,31293,73.7,81,2481938,30641,73.8,81,29664,68.4,162,30152,71.0,81,2524980,31172,75.1,81,29967,70.4,162,30570,72.7,80,2529604,31620,76.2,80,28102,65.3,160,29861,70.6,81,2259781,27898,0.0,81,29054,0.0,162,28476,0.0,,,,,,,,,,,80,1465543,18319,0.0,78,17401,0.0,158,17866,0.0,81,2026401,25017,0.0,80,27839,0.0,161,26419,0.0
14,Atlanta,81,2420171,29878,60.1,81,31936,75.2,162,30907,67.0,81,2548679,31465,63.3,81,30845,72.2,162,31155,67.4,81,2354305,29065,58.4,81,30804,71.7,162,29934,64.6,80,2001392,25017,50.3,81,29699,69.4,161,27373,59.2,81,2020914,24949,50.8,80,28026,66.0,161,26478,57.8,81,2505252,30929,75.3,79,29230,68.1,160,30090,71.7,81,2555781,31552,76.8,81,27826,65.1,162,29689,70.8,81,2654920,32776,0.0,80,28829,0.0,161,30815,0.0,,,,,,,,,,,78,2300247,29490,0.0,78,17968,0.0,156,23729,0.0,81,3129931,38641,0.0,80,28216,0.0,161,33461,0.0
15,Cincinnati,81,2347251,28978,68.5,81,30784,71.5,162,29881,70.0,81,2534369,31288,73.9,80,32890,75.9,161,32084,74.9,81,2476664,30576,72.3,81,32140,74.1,162,31358,73.2,81,2419506,29870,70.6,80,32075,74.5,161,30965,72.5,81,1894085,23383,55.3,81,31895,73.4,162,27639,64.5,81,1836917,22677,53.6,81,32094,74.8,162,27386,64.3,81,1629356,20115,47.5,81,29918,70.3,162,25017,59.0,81,1808685,22329,0.0,81,30425,0.0,162,26377,0.0,,,,,,,,,,,81,1505024,18580,0.0,81,19527,0.0,162,19054,0.0,80,1395770,17447,0.0,81,30005,0.0,161,23765,0.0
16,NY Mets,80,2242803,28035,67.1,81,33720,76.6,161,30895,72.0,80,2135657,26695,63.9,81,30628,69.9,161,28674,67.0,80,2148808,26860,64.3,81,32217,73.4,161,29555,69.0,81,2569753,31725,75.9,81,30693,69.8,162,31209,72.8,80,2789602,34870,83.4,80,30791,70.1,160,32830,76.6,80,2460622,30757,73.6,81,30372,70.3,161,30563,71.9,79,2224995,28164,67.4,80,29795,70.1,159,28985,68.7,80,2442532,30531,0.0,81,29425,0.0,161,29975,0.0,,,,,,,,,,,72,1484665,20620,0.0,79,20723,0.0,151,20674,0.0,77,2564737,33308,0.0,80,29330,0.0,157,31281,0.0
17,Miami,81,2219444,27400,73.2,80,30986,70.9,161,29182,71.9,81,1586322,19584,52.3,80,30091,68.9,161,24805,61.2,81,1732283,21386,57.1,81,28892,65.4,162,25139,61.6,81,1752235,21632,57.8,80,29215,66.2,161,25400,62.3,80,1712417,21405,57.2,81,28510,65.7,161,24979,61.8,81,1651997,20395,54.2,80,29160,67.4,161,24750,61.2,81,811104,10013,26.7,79,28917,67.2,160,19347,48.1,81,811302,10016,0.0,80,27812,0.0,161,18858,0.0,,,,,,,,,,,81,642617,7933,0.0,79,18015,0.0,160,12911,0.0,81,907487,11203,0.0,80,27803,0.0,161,19452,0.0
18,Arizona,81,2177617,26884,55.3,81,32292,72.2,162,29588,63.4,81,2134795,26355,54.2,81,33054,73.8,162,29705,63.6,81,2073730,25601,54.0,79,31481,70.6,160,28504,61.9,81,2080145,25680,52.8,80,32654,72.4,161,29146,62.2,81,2036216,25138,51.7,81,32701,72.9,162,28920,61.9,81,2134375,26350,54.2,81,31939,72.3,162,29144,62.8,81,2242695,27687,56.9,81,31832,71.9,162,29760,64.1,81,2135510,26364,0.0,81,28993,0.0,162,27678,0.0,,,,,,,,,,,81,1043010,12876,0.0,80,20081,0.0,161,16456,0.0,81,1605199,19817,0.0,81,29182,0.0,162,24499,0.0
19,Baltimore,79,2102240,26610,58.6,81,29549,68.6,160,28098,63.5,81,2357561,29105,64.1,81,28627,67.4,162,28866,65.7,80,2464473,30805,67.8,81,29671,70.4,161,30235,69.0,79,2320590,29374,65.3,81,28714,68.3,160,29040,66.8,81,2172344,26819,59.0,81,31796,73.8,162,29307,66.2,81,2028424,25042,55.1,81,29457,69.7,162,27250,62.1,78,1564192,20053,44.1,81,27204,64.2,159,23696,54.0,80,1307807,16347,0.0,78,25484,0.0,158,20858,0.0,,,,,,,,,,,78,793229,10169,0.0,80,16390,0.0,158,13319,0.0,78,1368367,17543,0.0,81,26132,0.0,159,21918,0.0
